Address,Vote,TotalYOU,youInWallet,youInStakingPool,youInQuipuswapPool,youInPlentyPool
tz1Ki9ZPLFq8MNbxHeoWiG1B6SHw7mBcjis3,1,50599768271185,1342593492560,0,0,49257174778625
tz1Xdg2VRNUmegnhqUH7xfnTdXCMQVjPpE4Q,1,1746035072428,3735072428,1742300000000,0,0
tz1ihxm6qmfonVjMF7Lco4cvPDQkcBHXUrb8,1,230474723543250,229639526,230474493903724,0,0
tz1ZKwZP7CKmyxz8JmLCQJaiD4kFcgvEG2Sp,1,2188253466293418,6914934453,2076650072049279,111596479309686,0
tz1isUkFmwZvUqrBPLnfTn9hVqMcNzKCdCp3,1,71254906447074,87806447074,71167100000000,0,0
tz1fHTxezXB27e58WYiF5C2gTMNv8SSopqCL,1,4834429600,4834429600,0,0,0
tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,1,3392385695111789,95111789,3392385600000000,0,0
tz1hFe4GTznHu3pjSXGkL4csfqobTY9kYSy4,0,6133806505816,78035232,6133728470584,0,0
tz1SraYbcCskcKKak9xoo6cFCL78SMZ4wVwV,1,0,0,0,0,0
tz1VDzxkBJaERUrQiQrqF1ZgBvpTMdWdqtdP,1,431039387609317,26194202549697,404845185059620,0,0
tz1fCHiWZ3ReGqvhxkMejVzcnXYz1rnsJpow,1,18827250840193,45824517,18827205015676,0,0
tz1TTHPG3zAwgAMX5tfB3EAFhUSEo1p1S8mP,1,55305163849507,3003607109815,0,0,52301556739692
tz1enT2GWv7U8jyPmmoVb228u8hvi6hJh5FF,1,1835229718676936,1835229718676936,0,0,0
tz1Q86tz2HeTL6iwHVcYe7nGUN4zSU545nWf,1,1469209145597595,1469209145597595,0,0,0
tz1UVbZj97XFLZfvXGF6i1UcodUCqdontCJZ,1,164721892843393,61592843393,164660300000000,0,0
tz1aDrsGYyNbiqUX6eTHLe5otZJwN5XQh2kG,1,3761840251671187,1,0,0,3761840251671186
tz1TSowSJAKRqQbqjspmyfN33nps1op2GodY,1,566839866906974,8118865880,69453696333976,0,497378051707118
tz1i8y93gWJJkqBXzhL7jvK8mEGAxrtMsH1A,1,256904960382109,255760860382109,1144100000000,0,0
tz1aEu8gxmQYdSpNUBPKkTximYUtJkkx6GQS,1,144034335568940,5025081028,14197800000000,0,129831510487912
tz1VhqMhLd2VJ3N9GEEodkRj1bhqwZtK3B7F,1,6232800319055,23662453,6232776656602,0,0
tz2VwWaiFPDUeHJ4puhzpkbiAUgmCtqRRp3V,1,12283781595007,82480144,12283699114863,0,0
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,129157975664166,129157975664166,0,0,0
tz1eg3T7zAuauPWxM5KQ8pTYWyJj85z7NDe7,1,3000192415337,92415337,3000100000000,0,0
tz1Zy8XZvaEeAbPHNeXKpL7t47PXRqKkkW6v,1,17975787516033,1679117007949,0,0,16296670508084
tz1Uza8yNRM6H3by1eB6ywTu6zfYc1KzVaFE,1,0,0,0,0,0
tz2Vd6MkQp7Qr25CxzHdPC7x7aVKhGgnyTrP,1,474086976788,29010298,474057966490,0,0
tz1LpZi5s8Pz25UQSvSv6izL3L6JNgkTktYz,1,468258069926560,689484476946,467568585449614,0,0
tz1bNXpqxTWBVtKdMityuJVyCjQkpv2wL5y5,1,761043996000000,59656962758,760984339037242,0,0
tz1YjqQAW7MbjPyxn7BupSgueKVPCf8ULrCp,1,1102228999708,1102228999708,0,0,0
tz1eYD8Pvere6UVKUfhSf2dFXm52qxoZu3aZ,1,1418046943067,21503043810,570100000000,826443899257,0
tz1Lz2jnUY21HXP33e6yAHsH6uo9UFPr5Hhn,1,0,0,0,0,0
tz1RCcoPQg8NPojtZBdFQmbZFqqasWUk8Yep,1,132609535947522,406139806440,132203396141082,0,0
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,1,935044181327889,81327889,935044100000000,0,0
tz1hi1w8by9kZTL8ViAXMKDwkGv2Zx1AeWqq,1,3074999153782636,40653782636,3074958500000000,0,0
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,10341046045247843,1243812292453,9735892686051847,603909546903543,0
