Address,Vote,TotalYOU,youInWallet,youInStakingPool,youInQuipuswapPool,youInPlentyPool,youInUusdPool,,,
tz1NEHwkV74mFgfXZL7twQrKWSCc1py3E9mU,1,2010293998556890.00,3698556893.00,2010290300000000.00,0.00,0.00,0.00,,,
tz1Uza8yNRM6H3by1eB6ywTu6zfYc1KzVaFE,1,11551131086887.00,89727102939.00,0.00,0.00,11461403983948.00,0.00,,,
tz1KritCfZbsqyeTHULnTo1PvdEhSwWJiCXS,1,56179630203636.00,3419034560055.00,52760595643581.00,0.00,0.00,0.00,,,
tz1MmDX549QtifqbizRUKSXhtEiKCF1cJHPF,1,5537246680180570.00,27985254.00,5537246652195320.00,0.00,0.00,0.00,,,
tz1PTR7wFs8pTFarkpsZ7zrtVBJhusyNRRM5,1,34194264962983.00,64962983.00,34194200000000.00,0.00,0.00,0.00,,,
tz1SraYbcCskcKKak9xoo6cFCL78SMZ4wVwV,1,0.00,0.00,0.00,0.00,0.00,0.00,,,
tz1afYUfaKDigXomGRiH69XWmZucZf9eGnj2,1,5404094965912780.00,71975427250231.00,5007070348264470.00,0.00,325049190398083.00,0.00,,,
tz1eRPcjeVygsvXhWBMRsmFDYRm1CLdj34w9,1,0.00,0.00,0.00,0.00,0.00,0.00,,,
tz1P9on812SP1uG5cP9PQmPHrdKgaJgfakSc,1,1485157008027540.00,8027545.00,1485157000000000.00,0.00,0.00,0.00,,,
tz1cZVbFLhGA3obUjFMamUBknEYUr5rcxX3g,1,89974807216290400.00,14880952380825.00,89959926263909600.00,0.00,0.00,0.00,,,
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,17184664341962100.00,1281016307344710.00,15903648034617400.00,0.00,0.00,0.00,,,
tz1TxxiRh28guikSX5LRiJkBunkgZi9QJz4c,1,10840691011835100.00,11835116.00,10840691000000000.00,0.00,0.00,0.00,,,
tz1gMfLSQs6xTM2TcLM6Sb2njJ6h9qhSsT9Z,1,614720450313186.00,357155929344599.00,0.00,0.00,257564520968587.00,0.00,,,
tz1ZKwZP7CKmyxz8JmLCQJaiD4kFcgvEG2Sp,1,1166976116226720.00,24380796281587.00,979656200000000.00,162484823523621.00,0.00,454296421510.00,,,
tz1Q86tz2HeTL6iwHVcYe7nGUN4zSU545nWf,1,0.00,0.00,0.00,0.00,0.00,0.00,,,
tz1XYh8aN8MdCGKKhKgKwuT1duedWn22hqBt,1,0.00,0.00,0.00,0.00,0.00,0.00,,,
tz1UFF5DSDDtk3fM1ewaLvVG6fhaAeCdgYEt,1,64070775026325.00,238817497.00,64070536208828.00,0.00,0.00,0.00,,,
tz1huCEjtBzbYCwqAGNtt1QHS2pbBu72w6cg,1,5114348641536960.00,94254699.00,5106082500000000.00,0.00,0.00,8266047282262.00,,,
tz1NSdbHJ6FCtpKEUDSnwURoQ2V1nZ9DyyYh,1,13164105678346.00,418505678338.00,12745600000000.00,0.00,0.00,8.00,,,
tz1L8hBVpams2fWFC9kS1sPVxfGY6Hmg5TQ8,1,157121039317255.00,157121039317247.00,0.00,0.00,0.00,8.00,,,
tz1cjvvhAGDoUXwqEaRLfdoFA5HGo7dU9Pet,1,377757558389529.00,327322163678.00,377430236225851.00,0.00,0.00,0.00,,,
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4,1,31561199969984.00,1063631900016.00,0.00,0.00,30497568069968.00,0.00,,,
tz1iAc9ytzCjZSYMo7JtnhtViLrzV7xx2TDH,1,1084106811937.00,547713799059.00,536393012878.00,0.00,0.00,0.00,,,
tz1NWgYcW6iPGwweGywBoox89r7e8ANEGxAz,1,0.00,0.00,0.00,0.00,0.00,0.00,,,
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,1,642242557892064.00,8527257892064.00,633715300000000.00,0.00,0.00,0.00,,,
tz1ZTvEfWf25tL6Fq4wPPyqNtLbpTbTWrRgK,1,1946055823342010.00,23342012.00,1946055800000000.00,0.00,0.00,0.00,,,
tz1RCcoPQg8NPojtZBdFQmbZFqqasWUk8Yep,1,679975618395072.00,18395072.00,679975600000000.00,0.00,0.00,0.00,,,
tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,1,265696246181938.00,46181938.00,265696200000000.00,0.00,0.00,0.00,,,
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,10773337919631000.00,19630969.00,10773337900000000.00,0.00,0.00,0.00,,,
tz1hcrhwAjMMPhp4hqYGhysh1MUua5UBK22r,1,3299638233840.00,815738233840.00,2483900000000.00,0.00,0.00,0.00,,,
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,3453735862520150.00,38286302.00,3349734400000000.00,0.00,104001424233844.00,0.00,,,
tz1iksd7HxvMGAYmzh5wQRAcVzceWfY79PGA,1,0.00,0.00,0.00,0.00,0.00,0.00,,,
tz1VDzxkBJaERUrQiQrqF1ZgBvpTMdWdqtdP,1,162999571842760.00,62999571842760.00,100000000000000.00,0.00,0.00,0.00,,,
tz1LjsZbuoeKEqM7ua9r5h5qwBXZD5ahjuaQ,1,3310933705480480.00,33196180.00,2551848531667140.00,0.00,757882679673222.00,1202460943943.00,,,
tz1SHyGgXii5Wgxu4s8na6gUoGn2AeQgHiJW,1,12560920356141.00,718530285119.00,0.00,0.00,11842390071022.00,0.00,,,
tz1fCHiWZ3ReGqvhxkMejVzcnXYz1rnsJpow,1,16032964619778.00,16032964619778.00,0.00,0.00,0.00,0.00,,,
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG,1,38674700179324400.00,79324364.00,38674700100000000.00,0.00,0.00,2.00,,,
tz1eg3T7zAuauPWxM5KQ8pTYWyJj85z7NDe7,1,3120948011469.00,120848011469.00,3000100000000.00,0.00,0.00,0.00,,,
tz1TzqieSzSJyHv76nRTMWN5kqmzPKfBh5db,0,1054674271.00,1054674265.00,0.00,0.00,0.00,6.00,,,
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,1,0.00,0.00,0.00,0.00,0.00,0.00,,,
tz1N33TtiYBQ67sw32rhCsMSVpZkrSHWe9aq,1,5720203704677010.00,17374506.00,1401151341444130.00,0.00,4319052345858370.00,0.00,,,
tz2MzvuRU1GEKi9udpqzLpGYfDoZTiKZ3C4C,1,1959089359972.00,1959089359972.00,0.00,0.00,0.00,0.00,,,
tz1Xy5UM1tC3CFcbPBVq5PjufaxcLjMwfQkE,1,88625352.00,88625352.00,0.00,0.00,0.00,0.00,,,
tz1RAKBnmd1X43pkkGqywYCRgf1Uo6D77zMx,1,56540136.00,56540136.00,0.00,0.00,0.00,0.00,,,
tz1aQGJFwYn3yzghyRbuWNapzDZjXCEfYHuW,1,176561258296465.00,72524692.00,176561185771773.00,0.00,0.00,0.00,,,
tz1isUkFmwZvUqrBPLnfTn9hVqMcNzKCdCp3,1,178247615075543.00,15054723.00,178247600020820.00,0.00,0.00,0.00,,,
tz1aDrsGYyNbiqUX6eTHLe5otZJwN5XQh2kG,1,6080937576356.00,0.00,0.00,0.00,4.00,6080937576352.00,,,
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,1,496101743630369.00,5028913774320.00,370807000000000.00,97090133870375.00,23175695985674.00,0.00,,,
tz1QfgVfyb1Q5KpUHeRy7i3CJ62XJQH6CvDD,1,4893277622711620.00,16483360.00,4893277606228260.00,0.00,0.00,0.00,,,
tz1aCGsujupLsLWEiakxuM36JcbSdxkis7a8,1,8440346714752020.00,55614752022.00,8440291100000000.00,0.00,0.00,0.00,,,
tz1VTFBKGGD65Cgdcf92piJo3BbMmjuDbf6R,1,16686545632302400.00,94620981.00,16686545537681400.00,0.00,0.00,4.00,,,
tz1WH8q1pXgfrRZQFHu8943JuQyTXQgBWb5G,1,31539761353462500.00,53462535.00,31539761300000000.00,0.00,0.00,0.00,,,
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,14311072723215600.00,1068830538773200.00,13242242184442400.00,0.00,0.00,0.00,,,
tz1hrAewJDju8L25r6NBoNa2FHVXTrt7SEiw,1,10296809108339600.00,8339579.00,10296809100000000.00,0.00,0.00,0.00,,,
tz1UVbZj97XFLZfvXGF6i1UcodUCqdontCJZ,1,782381958253977.00,158253977.00,782381800000000.00,0.00,0.00,0.00,,,
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,51998740671289200.00,0.00,51988000000000000.00,0.00,0.00,10740671289153.00,,,
tz1aV6CMWGRZ99yRmswdQbkYa5z6FtpR9V29,1,14227002951365900.00,180876379239.00,14226822074986700.00,0.00,0.00,0.00,,,
tz1bBkoYeN1KLDWAYQDRT7UZQfSJem22J5SF,1,42018888367304200.00,868121098848.00,42018020246205400.00,0.00,0.00,0.00,,,
tz1fv6Na5vy8ecSV3rQrWv2hdGoFgiwUP6TD,1,125045715849475000.00,352096491072.00,125045363752984000.00,0.00,0.00,0.00,,,
tz1Ma54cPMcobQKkqAP1STzv3YtdY4w525Zh,1,9983855523822560.00,23822560.00,9983855500000000.00,0.00,0.00,0.00,,,
tz1YjqQAW7MbjPyxn7BupSgueKVPCf8ULrCp,1,4534876471256.00,4534876471256.00,0.00,0.00,0.00,0.00,,,
tz1ZZ3SkpTjwXPdofz9vhTw4eYRtomqkMvjW,1,3540150242655.00,65271332.00,3540084971323.00,0.00,0.00,0.00,,,
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,7712212471265140.00,4344712469.00,6832913934120790.00,879294192431882.00,0.00,0.00,,,
tz1NEoL5WJx89E3tJMJQY8mRVeuYqtbBfpmr,1,899412403192.00,59261013.00,899353142179.00,0.00,0.00,0.00,,,
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,1,255623105299936.00,9560419870.00,0.00,0.00,255613544880066.00,0.00,,,
tz1ghDu2tnw9XveuAx9zJKxn2DBtefgVD93y,1,67531075659500.00,67531075659500.00,0.00,0.00,0.00,0.00,,,
tz1fL2TsQR271w84MXx3qFD7y4PZ1F2mpHFA,1,665127928745215.00,665127928745215.00,0.00,0.00,0.00,0.00,,,
tz1W7YV9qXtDvB2tPWWueh6KtfWDBmjZchm9,1,221120627209504.00,6246375217665.00,186041700000000.00,0.00,28832551991839.00,0.00,,,
tz1MfQBoaAPfNtpcpWDKXMjtt8zHRL5t371v,1,2398964010.00,1898964010.00,500000000.00,0.00,0.00,0.00,,,
tz1hi1w8by9kZTL8ViAXMKDwkGv2Zx1AeWqq,1,5008668350469460.00,50469456.00,5008668300000000.00,0.00,0.00,0.00,,,
tz1XFG6C2y45i4rSUAkzjd6G6NshiLqB4oEn,1,5038504545331.00,4038504545331.00,1000000000000.00,0.00,0.00,0.00,,,
tz1dx13MqhxT93z5JWoFgHuaRbGAvkt3a1p1,1,3199527884274.00,9490069.00,0.00,3199518394205.00,0.00,0.00,,,
tz1Mj7RzPmMAqDUNFBn5t5VbXmWW4cSUAdtT,1,122255056704.00,13437004369.00,108818052335.00,0.00,0.00,0.00,,,
tz1ZutSZgCHEzxspXyoSYSREhwHh5g4PM8hN,1,783964564322287.00,64322287.00,783964500000000.00,0.00,0.00,0.00,,,
