Address,Vote,TotalYOU,youInWallet,youInStakinguUSDPool,youInStakinguDEFIPool,youInQuipuswapPool,youInPlentyPool,youInUusdPool
tz1Z1xRcvcqPPqja34fWNd1StABUV38LnbpW,1,1400054641766614,38513374,1400054603253240,0,0,0,0
tz1cZVbFLhGA3obUjFMamUBknEYUr5rcxX3g,1,109804618724055865,31084656084389,109773534067971476,0,0,0,0
tz1P9on812SP1uG5cP9PQmPHrdKgaJgfakSc,1,1485157008027545,8027545,1485157000000000,0,0,0,0
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,17756339657659947,29307404,17756339628352543,0,0,0,0
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,33175428517800151.56205518553797689136,392607568998534,32778564428056338,0,0,0,4256520745279.56205518553797689136
tz1NEHwkV74mFgfXZL7twQrKWSCc1py3E9mU,1,2089313030033988,25249630033988,2064063400000000,0,0,0,0
tz1gMfLSQs6xTM2TcLM6Sb2njJ6h9qhSsT9Z,1,532279920611008.63646528384144198014,1,0,0,0,532279920611007.63646528384144198014,0
tz1W7YV9qXtDvB2tPWWueh6KtfWDBmjZchm9,1,359218023095278.03863215025455614186,68023095278,359150000000000,0,0,0.03863215025455614186,0
tz1V2JteeVKQbKB8uBg6tFrBTC2VeeQKNBCA,1,2998345410884,2998345410884,0,0,0,0,0
tz1MXiYFteGmabPX8MCmgydVgxRQuKzkGevs,1,6484203547400796,47400796,6484203500000000,0,0,0,0
tz1THJA9U7BwPBF1raQ5cgBX5kpjFE9AKftH,1,4513196621209351,686622970204285,3826573651005066,0,0,0,0
tz1ZvinUVkoEkKcZyRwjRmHc5C3DkzpEWL1g,1,85509836325681,36325681,85509800000000,0,0,0,0
tz1TxxiRh28guikSX5LRiJkBunkgZi9QJz4c,1,10935082265668430,77746070,0,10935082187922360,0,0,0
tz1MfQBoaAPfNtpcpWDKXMjtt8zHRL5t371v,1,2498964010,98964010,2300000000,100000000,0,0,0
tz1i8y93gWJJkqBXzhL7jvK8mEGAxrtMsH1A,1,282332793935280,281188693935280,1144100000000,0,0,0,0
tz1QCvhUnFp2659eu4iUjMneFHCN9uqaRFJ6,1,0,0,0,0,0,0,0
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,12082379047035093,47035093,11278125300000000,804253700000000,0,0,0
tz1hi1w8by9kZTL8ViAXMKDwkGv2Zx1AeWqq,1,3000000000000000,0,3000000000000000,0,0,0,0
tz1ZKwZP7CKmyxz8JmLCQJaiD4kFcgvEG2Sp,1,5065109979945288.32662883184947491488,521551594792,2902718100000000,2161241081363448,0,0,629246987048.32662883184947491488
tz1duafqHy827Aw6bbFNVqUbpxphm8MSecwU,1,55512273924774,507773924774,55004500000000,0,0,0,0
tz1ZfXBr91jtpVi4WUjowXK8BkbU2CrBBXW4,1,242750009750468,210309750468,242539700000000,0,0,0,0
tz1W4w7QPxNB2QNwB1xMtCAyirnZ12sdGN1Y,1,342678207651906,42207651906,342636000000000,0,0,0,0
tz1Pqec8GXCyUrpJEZcj4sqeKciVEXUkHMd8,1,453432894930200,546694930200,452886200000000,0,0,0,0
tz1f2g1M1sdwAggmRaZ4pby69fqRNZATS8xG,1,8686646617892.92475335490324245182,449224568168,8218600000000,0,0,0,18822049724.92475335490324245182
tz1ZZ3SkpTjwXPdofz9vhTw4eYRtomqkMvjW,1,6210796280801,68655065,6210727625736,0,0,0,0
tz1d4649CmmMEzXBWzhTgTkFxy9ATNhb5HC3,1,32583187401127.08485384846713743702,0,0,0,0,32583187401127.08485384846713743702,0
tz1eqcJjqfYbZb49KDQQZRNWth7d8vXtW4Ea,1,3038949708816111,19308816111,3038930400000000,0,0,0,0
tz1WVMmKYeDChF5nssUd5x3Mhc6kzqTeJ5C9,1,48736685888291897,88291897,48736685800000000,0,0,0,0
tz1R5pBgWCLv297Tt5ZnKyo7mzXGFuBfZN2q,1,52379055041838619,22868106,52379055018970513,0,0,0,0
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,1,760325002691318.42938837652482584524,66330218,760242300000000,0,0,0.0228800889890309724,82636361100.40650828753579487284
tz1aDrsGYyNbiqUX6eTHLe5otZJwN5XQh2kG,1,6173236575866.97956134071917916162,0,0,0,0,3.49774960402697715378,6173236575863.48181173669220200784
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,16195403849050036.16670793644798703774,8003664855,10317673934120798,5000000000000000,877721911264383.16670793644798703774,0,0
tz1Kk6A3hRvP5FBCupUGMXxiMUiwyRcHLe5w,1,177366014324891,14324891,177366000000000,0,0,0,0
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,78755339160896473.08195911333696473062,5101435463231597,73643000000000000,0,0,0.42609765724956910908,10903697664875.65586145608739562154
tz2JgCoeydn3KsFHZVRMVzXcq22s7JLzCdas,1,1454826678400226.86424962027669993826,1447756152802762,0,0,0,0,7070525597464.86424962027669993826
tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,1,4073024736308466.8371378462553253589,1,1938714400000000,2134011500000000,0,0,298836308465.8371378462553253589
tz1huCEjtBzbYCwqAGNtt1QHS2pbBu72w6cg,1,9825225225879893.53789054483973605516,39911978,9816475700000000,0,0,0.08518433131300762032,8749485967915.45270621352672843484
tz1iuQgH6htUbmdLALotF4HHbbKxjN7MkGd8,1,55705676161459,6137976161459,0,49567700000000,0,0,0
tz1h5EEGcuakG3xAaTxGeUS5xv6ZqVCreSGL,1,311829160743640,41476109,311829119267531,0,0,0,0
tz1N3uXFUPfBSA98qxBTX3hj587r5NzRg1r2,1,4131287112952.0017600068453100748,87112952,4131200000000,0,0,0.0017600068453100748,0
tz1aCGsujupLsLWEiakxuM36JcbSdxkis7a8,1,9105748475182353,7375182353,9105741100000000,0,0,0,0
tz1WW1xr4mdTif7jorgVr7aqY3YnnJPSDXj7,1,14003045500000000,0,7046030500000000,6957015000000000,0,0,0
tz1N1ZkQ589CgQ9952UMGwzNWufoyDi93rp8,1,69217188740293.17749669034952104358,7288740293,69209900000000,0,0,0.17749669034952104358,0
tz1Ma54cPMcobQKkqAP1STzv3YtdY4w525Zh,1,11120163945350273,45350273,11120163900000000,0,0,0,0
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,1,785120206398663.45169944044682917362,2436261804741,422418300000000,243296700000000,96916525321213.21945145972122375924,20052419272709.23224798072560541438,0
tz1VTFBKGGD65Cgdcf92piJo3BbMmjuDbf6R,1,19505232230226964.76363536753869988708,78787324,19505232151439637,0,0,0,3.76363536753869988708
tz1ZTvEfWf25tL6Fq4wPPyqNtLbpTbTWrRgK,1,2159212232092581,4030632092581,2155181600000000,0,0,0,0
tz1NW1MMFL3jytxBjhx1qATMJyY47vLBMa4p,1,2056935792772650,92772650,2056935700000000,0,0,0,0
tz1WH8q1pXgfrRZQFHu8943JuQyTXQgBWb5G,1,37525579069470981,69470981,31808311300000000,5717267700000000,0,0,0
tz1ZeRsv3qTfoKAzfaJLSGtqXpnJeUTM8BHg,1,3660284967356882,61635995,3326599305720887,333685600000000,0,0,0
tz1cjvvhAGDoUXwqEaRLfdoFA5HGo7dU9Pet,1,643676882801383.95707339724808199182,11738175,643513936225851,0,0,0,162934837357.95707339724808199182
tz1ZutSZgCHEzxspXyoSYSREhwHh5g4PM8hN,1,813236538111983,38111983,813236500000000,0,0,0,0
tz1RCcoPQg8NPojtZBdFQmbZFqqasWUk8Yep,1,903025112805428.16781665270031563218,80133212,903025032672216,0,0,0.16781665270031563218,0
tz1aV6CMWGRZ99yRmswdQbkYa5z6FtpR9V29,1,16704255963669325,2042767137901,16702213196531424,0,0,0,0
tz1RAKBnmd1X43pkkGqywYCRgf1Uo6D77zMx,1,32533756540136.0022000085566375935,56540136,0,32533700000000,0,0.0022000085566375935,0
tz1bBkoYeN1KLDWAYQDRT7UZQfSJem22J5SF,1,50693902608431300,228686525565016,50465216082866284,0,0,0,0
tz1fv6Na5vy8ecSV3rQrWv2hdGoFgiwUP6TD,1,140538209140289527,1006921032482,140537202219257045,0,0,0,0
tz1Xy5UM1tC3CFcbPBVq5PjufaxcLjMwfQkE,1,21423188625352.0039600154019476683,88625352,0,21423100000000,0,0.0039600154019476683,0
tz1c5FK88csfizWtWv9mhS4eENHSVUr7hM4j,1,2494513823045461,163023045461,0,2494350800000000,0,0,0
tz1Ns53p6J4U9non5pvtQkNFpPPNi7gwYyEJ,1,199042066247668,199042066247668,0,0,0,0,0
tz1X2debvxGtmv1px96EHCXZemHFr2kEZner,1,0,0,0,0,0,0,0
tz1SsYVf2h1PLq9gerxgZPaE24wUZ3pt1k6t,1,1303588610485727.0008800034226550374,10485727,1303588600000000,0,0,0.0008800034226550374,0
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,3724474088980172.20034358567957317364,34828292,3634488400000000,0,0,89985654151880.20034358567957317364,0
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG,1,42837999888123494.88181768376934994354,88123493,42837999800000000,0,0,0,1.88181768376934994354
tz2LPXT1khRrU5GmpKJ7tFyqLtapiHtsexmL,1,1008241973125,1008241973125,0,0,0,0,0
tz1LjsZbuoeKEqM7ua9r5h5qwBXZD5ahjuaQ,1,154108289696801.32003263439037563188,522137844448,148000000000000,0,0,383626781343.57882584749856186712,5202525071009.74120678689181376476
tz1Mj7RzPmMAqDUNFBn5t5VbXmWW4cSUAdtT,1,130312307820,20494255485,108818052335,1000000000,0,0,0
Total votes YES,67
Total votes NO,0
Total YOU YES,787024787262320576.39899891960384479596
Total YOU NO,0
Total YOU VOTED,787024787262320576.39899891960384479596
