Address,Vote,TotalYOU,youInUnifiedStakingPool
tz1QfgVfyb1Q5KpUHeRy7i3CJ62XJQH6CvDD,1,"6,891,516,277,684,040","6,891,516,277,684,040"
tz1d41C4WNcRvB4djUBpRa1w235FU8JsBCpE,1,"7,368,037,423","7,368,037,423"
tz1Xdg2VRNUmegnhqUH7xfnTdXCMQVjPpE4Q,0,0,0
tz1Uza8yNRM6H3by1eB6ywTu6zfYc1KzVaFE,1,0,0
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,1,"1,762,367,680,522,860","1,762,367,680,522,860"
tz1TQxmf4irW6xBNfa6Seg2KytMwDvJtiktn,1,"47,357,724,263,705,000","47,357,724,263,705,000"
tz1SraYbcCskcKKak9xoo6cFCL78SMZ4wVwV,1,"2,410,123,188,661,100","2,410,123,188,661,100"
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,"26,564,298,213,769,200","26,564,298,213,769,200"
tz1ZKwZP7CKmyxz8JmLCQJaiD4kFcgvEG2Sp,1,"3,545,482,853,681,730","3,545,482,853,681,730"
tz1TxxiRh28guikSX5LRiJkBunkgZi9QJz4c,1,"11,013,884,756,375,800","11,013,884,756,375,800"
tz1ZxzVg9QCSWncweFpLASiWQGd6xHAGDK8V,1,0,0
tz1NrXAc1TcHZhqP3iafzvAH6TnuFSc7Fnjk,1,"7,401,737,588,900,550","7,401,737,588,900,550"
tz1N33TtiYBQ67sw32rhCsMSVpZkrSHWe9aq,1,0,0
tz1VDzxkBJaERUrQiQrqF1ZgBvpTMdWdqtdP,1,0,0
tz1fCHiWZ3ReGqvhxkMejVzcnXYz1rnsJpow,1,0,0
tz1hv3sZs4F8MgQSVzzj3HYbTGoeFQu3fH9k,1,"49,584,706,895,701,300","49,584,706,895,701,300"
tz1P9on812SP1uG5cP9PQmPHrdKgaJgfakSc,1,"183,267,741,965,951,000","183,267,741,965,951,000"
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,"20,829,413,233,700,400","20,829,413,233,700,400"
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,"23,604,104,990,389,300","23,604,104,990,389,300"
tz1VTFBKGGD65Cgdcf92piJo3BbMmjuDbf6R,1,"9,935,821,329,907,040","9,935,821,329,907,040"
tz1cjvvhAGDoUXwqEaRLfdoFA5HGo7dU9Pet,0,"963,086,324,423,406","963,086,324,423,406"
tz1afYUfaKDigXomGRiH69XWmZucZf9eGnj2,1,"6,596,916,794,922,660","6,596,916,794,922,660"
tz1dx13MqhxT93z5JWoFgHuaRbGAvkt3a1p1,1,"10,923,926,380,954","10,923,926,380,954"
tz1RCcoPQg8NPojtZBdFQmbZFqqasWUk8Yep,1,"1,995,788,710,469,280","1,995,788,710,469,280"
tz1eQyHiTs39vC4en382g9aNgSMcn7pCPPG4,1,0,0
