Address,Vote,TotalYOU,youInUnifiedStakingPool
tz1P9on812SP1uG5cP9PQmPHrdKgaJgfakSc,1,156417871403742678,156417871403742678
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,65800023369447162,65800023369447162
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,67200527320285189,67200527320285189
tz1RZiF2GQTsSHrnxZhUpYSfZBvnmTYEPaHW,1,84001479482445,84001479482445
tz1VUAhWPnigTcWk25WigTxayuPgLjZZGCMw,1,102630284825131,102630284825131
tz1aag4xQfh1FKAupcMQeQMHtYPfejzeKkW9,1,0,0
tz1VYa9SB4LtsHLWZnJXc1JuL7wuX46orE2Z,1,11587646327424126,11587646327424126
tz1ioU6W4otB7ebgRZTq1EVVra3vMyXqeqsm,1,15413899500016442,15413899500016442
tz1TxxiRh28guikSX5LRiJkBunkgZi9QJz4c,1,11981887525001703,11981887525001703
tz1e4DnaseVgUSRFjmhtLgbZmypdyc2ENzxY,1,0,0
tz1Ma54cPMcobQKkqAP1STzv3YtdY4w525Zh,1,21824463386057211,21824463386057211
tz1fv6Na5vy8ecSV3rQrWv2hdGoFgiwUP6TD,1,500405899780681420,500405899780681420
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,60391990277554175,60391990277554175
tz1P4owaJWbeXsuqGSvggi3imzR2mJDpyxTV,1,126610814539471,126610814539471
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,1,7201121913953,7201121913953
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,10097460103677911,10097460103677911
tz1dkkfj76D6KkhqwZbDcBy2hRvNc45TEaVM,1,92673876435443,92673876435443
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,165431106738059853,165431106738059853
tz1TQxmf4irW6xBNfa6Seg2KytMwDvJtiktn,1,101972591053291226,101972591053291226
tz1X2debvxGtmv1px96EHCXZemHFr2kEZner,1,8099938564745659,8099938564745659
tz1dx13MqhxT93z5JWoFgHuaRbGAvkt3a1p1,1,14966607551921,14966607551921
tz1QanPT1sMCTEqesxbySgWX2fwzpsSwDAa1,1,83999706575118,83999706575118
tz2V5RiAymmUheGTeos9TDvEqL1Z9NzANp2N,1,1545102431443051,1545102431443051
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG,1,62072127162220022,62072127162220022
tz1hKW9ZbV7U1hb1zPfrE6HG5UWsKt6eppMa,1,2115086269437620,2115086269437620
tz1WVMmKYeDChF5nssUd5x3Mhc6kzqTeJ5C9,1,137023782083258984,137023782083258984
tz1XYkmAHtkZFjZLdWNoL2BTqUws4oD4H1PR,1,0,0
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,38469171337947473,38469171337947473
tz1YSvD1TBXdUqBtmvprGodwnrTjHuUhaT47,1,4349655485581596,4349655485581596
tz1PkRD7XSUztwMWAcsHcMybGaShvVkTaoEb,1,4255750377989,4255750377989
tz1V28Zqfftk8o6ehc5UdJPzuyZW99yJ4Gj5,1,1346793283653,1346793283653
Total votes YES,31
Total votes NO,0
Total YOU YES,1442717916554858625
Total YOU NO,0
Total YOU VOTED,1442717916554858625
